Il,Ilce,AKP,CHP,HDP,MHP,IYI
Burdur,Merkez,35.66805053345833,24.620924661101437,2.240971385206018,10.245078344716754,23.63882564766454
Burdur,Çavdır,41.594853744386455,20.900594732370433,0.7889306954727515,14.091515960674839,18.885787110086177
Burdur,Çeltikçi,51.317175974710224,13.672286617492096,0.2897787144362487,14.22550052687039,16.938883034773447
Burdur,Gölhisar,51.258259524813724,13.489385631941516,1.0052017432869393,16.540137775903275,14.276676507802614
Burdur,Karamanlı,35.94337932270202,30.58591650241892,1.50510661171833,8.546855402257659,20.17559577136714
Burdur,Kemer,51.810822326374094,12.697060076693651,0.2982530890498509,13.506604175543247,16.70217298679165
Burdur,Tefenni,32.54723890435037,19.759777354621356,1.069283726380548,23.773253259118206,19.525413798154386
Burdur,Yeşilova,33.3628946434906,37.601986520042566,0.9489180560482441,8.30081589216034,15.989712664065271
Bursa,Büyükorhan,64.42577030812325,11.587793011941619,1.017249004865104,7.3123986436679935,10.776942355889725
Bursa,Karacabey,40.66732557288235,22.40098103814335,4.952778387876125,9.200893183981258,19.00029284720697
Bursa,Mustafakemalpaşa,45.32924293752453,20.34051091176086,1.8944736038616439,8.67270533156923,18.757178790037656
Bursa,Nilüfer,31.930623101956208,36.23080212508426,5.093099274485218,7.943335918417638,15.94646701118351
Bursa,Orhaneli,53.67620427381384,13.987685621151757,0.5360376675117711,9.974646867077146,16.428830134009416
Bursa,Osmangazi,46.50727906648371,22.079955684768088,4.392964594881301,10.962770136457605,12.658805299001097
Bursa,Gemlik,38.437059472134216,28.080729130319483,6.130054293969042,11.43104386785211,11.739500607143356
Bursa,Gürsu,52.9372738238842,12.579412947326096,5.432247687977483,16.06151990349819,8.586650583031766
Bursa,Harmancık,55.75125027179822,15.220700152207002,0.9784735812133072,10.893672537508154,11.915633833442053
Bursa,İnegöl,58.29047648553194,12.8700662990272,5.592663733812504,11.75723402936985,7.004771051490179
Bursa,İznik,44.71895208091527,24.931188857569225,1.4624440391311557,8.111424307743325,16.87282374398939
Bursa,Keles,61.294036380382224,12.330186507022795,0.5756389592447617,8.749712180520378,13.009440478931614
Bursa,Kestel,45.46508758943992,20.298544288181596,6.767826301505058,12.570935109795213,11.53219837157661
Bursa,Mudanya,32.75196813641597,38.264305940193545,3.9673896132184088,7.618943896443352,14.918940784765224
Bursa,Orhangazi,42.04396977787877,25.738037077013388,2.5847866840879394,11.075763600901361,14.974720218144634
Bursa,Yenişehir,42.62791149607174,20.699036673051832,5.221953860248188,12.650953610393938,15.329946420143806
Bursa,Yıldırım,49.653159451934606,17.07831392870763,8.278559197194367,11.592674847268023,10.00964623011867
Çanakkale,Ayvacık,37.152849207981895,36.59329356099568,4.065007200164575,6.241514091750669,13.737914009463074
Çanakkale,Bayramiç,36.78766133917338,37.761520898373796,1.3839056893900563,4.762126648338847,16.737337495922837
Çanakkale,Biga,47.96683582764974,25.964055984743187,1.798816950576979,7.941946536509681,13.795778517632607
Çanakkale,Bozcaada,22.06896551724138,47.95402298850575,10.436781609195402,3.1264367816091956,14.620689655172415
Çanakkale,Çan,42.88930047015244,26.114831172531698,0.8405755805670323,8.912950562758228,19.190767915657503
Çanakkale,Merkez,26.02304118812233,40.817722351018375,5.575541165916096,5.929064406960322,19.601886641618034
Çanakkale,Eceabat,22.034664657121326,49.962321024868125,2.66767143933685,3.6925395629238884,19.77392614920874
Çanakkale,Ezine,36.92105501676788,36.0146832230581,2.406417112299465,5.923139671893411,16.414393184084112
Çanakkale,Gelibolu,28.51101321585903,44.23259911894273,3.0555066079295155,5.888986784140969,15.2
Çanakkale,Gökçeada,29.845189104448362,26.631393298059965,14.481677444640408,9.229864785420341,16.676464824612975
Çanakkale,Lapseki,43.80795384298372,23.81001442406759,1.9884607459303523,9.071708221718525,18.94704306614465
Çanakkale,Yenice,53.63276645899983,19.813941741033844,0.7240276140764439,7.86748610877252,14.771005219733961
Çankırı,Atkaracalar,69.19910179640719,3.967065868263473,0.561377245508982,11.52694610778443,12.013473053892216
Çankırı,Bayramören,73.49602724177072,3.8024971623155506,0.170261066969353,8.286038592508513,9.591373439273553
Çankırı,Merkez,52.5518341307815,5.411520344200882,0.8512295537999333,22.716145543562924,15.383331478802715
Çankırı,Çerkeş,55.51971699094787,11.882218291540942,0.7283321194464676,16.25221100821975,12.007075226303193
Çankırı,Eldivan,60.97735399284863,7.699642431466031,0.23837902264600716,16.090584028605484,11.251489868891538
Çankırı,Ilgaz,62.173469387755105,6.020408163265306,0.30612244897959184,17.091836734693878,10.214285714285714
Çankırı,Kızılırmak,56.885743174924166,4.448938321536906,0.5864509605662285,28.08897876643074,7.259858442871588
Çankırı,Korgun,71.24915139171759,2.5118805159538358,0.13577732518669383,14.42634080108622,8.655804480651732
Çankırı,Kurşunlu,62.84862304858797,8.980880547272408,0.5262234695667427,15.365725311348886,8.910717417996842
Çankırı,Orta,70.98545155091958,2.1548174581388966,0.19214932747735383,18.80318418885534,4.350809772165797
Çankırı,Şabanözü,56.16591928251121,15.23262331838565,0.4204035874439462,16.031390134529147,9.445067264573991
Çankırı,Yapraklı,74.7485632183908,1.4547413793103448,0.14367816091954022,14.493534482758621,5.944683908045977
Çorum,Alaca,52.805036104425106,16.74226995000926,3.28642843917793,16.145158304017773,8.239214960192557
Çorum,Bayat,71.15332915135765,6.147504256653822,0.4928757057083968,10.063625772918721,9.525943184873196
Çorum,Boğazkale,65.1531930601698,6.9398301956441495,1.2550756736803248,16.72203765227021,6.275378368401624
Çorum,Merkez,45.291528087227015,25.03578847664869,4.707395567610622,14.208832488402381,8.030611256417709
Çorum,Dodurga,48.78694309660344,21.305690339655932,0.9042787825319806,12.637847375385972,13.012792236435818
Çorum,İskilip,63.142831182991095,7.391422860258041,0.5133563510812285,15.695984008722515,9.158640741413775
Çorum,Kargı,63.50197976242851,14.729432468103827,0.48394192696876376,10.761108666959965,7.223933128024637
Çorum,Laçin,56.25802310654686,19.22336328626444,1.925545571245186,13.189987163029524,5.680359435173299
Çorum,Mecitözü,45.561392574125186,31.831537708129286,4.069094470661562,10.90731012376458,5.110853886563975
Çorum,Oğuzlar,60.23273463192512,20.086010624841894,0.4300531242094612,8.77814318239312,7.386794839362509
Çorum,Ortaköy,41.93284193284193,25.04095004095004,5.18018018018018,15.335790335790335,9.725634725634725
